iter	Passed	Remaining
0	209	208838
1	213	106470
2	219	72866
3	223	55722
4	233	46549
5	236	39176
6	238	33868
7	242	30082
8	244	26946
9	246	24437
10	249	22422
11	251	20720
12	254	19327
13	257	18156
14	260	17108
15	262	16169
16	265	15344
17	268	14638
18	271	14004
19	275	13478
20	281	13108
21	283	12583
22	284	12102
23	287	11672
24	288	11261
25	292	10960
26	294	10628
27	296	10295
28	298	9983
29	299	9693
30	315	9864
31	325	9845
32	327	9599
33	330	9378
34	332	9156
35	336	9008
36	339	8830
37	341	8642
38	348	8592
39	351	8429
40	353	8270
41	355	8111
42	357	7952
43	369	8028
44	371	7883
45	378	7840
46	380	7723
47	382	7589
48	384	7461
49	386	7345
50	393	7317
51	399	7284
52	402	7195
53	405	7105
54	407	7004
55	410	6911
56	411	6811
57	413	6716
58	420	6712
59	425	6662
60	428	6594
61	430	6518
62	433	6453
63	437	6392
64	440	6330
65	442	6264
66	444	6192
67	445	6108
68	447	6044
69	453	6030
70	456	5968
71	457	5899
72	459	5841
73	465	5826
74	467	5771
75	469	5712
76	471	5653
77	473	5593
78	475	5539
79	477	5486
80	481	5468
81	484	5426
82	487	5384
83	489	5334
84	490	5282
85	492	5237
86	494	5189
87	496	5147
88	498	5105
89	501	5069
90	504	5036
91	506	4997
92	510	4975
93	512	4942
94	514	4901
95	516	4862
96	518	4822
97	520	4786
98	522	4751
99	524	4721
100	527	4694
101	528	4653
102	530	4619
103	532	4583
104	533	4548
105	535	4515
106	537	4484
107	544	4500
108	547	4471
109	549	4446
110	551	4416
111	553	4386
112	555	4359
113	558	4338
114	560	4310
115	561	4278
116	563	4249
117	564	4221
118	566	4195
119	569	4178
120	571	4153
121	573	4127
122	575	4100
123	577	4082
124	579	4058
125	582	4039
126	584	4020
127	586	3992
128	588	3975
129	590	3953
130	592	3932
131	594	3911
132	599	3909
133	602	3893
134	604	3872
135	606	3850
136	608	3830
137	609	3807
138	611	3790
139	613	3768
140	615	3749
141	617	3729
142	618	3709
